datetime,tempmax,tempmin,feelslikemax,feelslikemin,dew,humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarenergy
20.10.2016,7.8,5.1,7.6,4.9,6.2,95.04,29.63,7.6,114.9,1017.1,20.2,3.8,14.4
21.10.2016,8.6,5,8.6,3.5,5.3,92.27,0.01,7.2,150.2,1015.5,19.3,7.9,12.4
22.10.2016,13.2,4.3,13.2,1.6,4.1,77.69,0,10.8,202.4,1016.9,0.1,19.8,15.22
23.10.2016,11.5,4.7,11.5,3,5.8,88.79,0,14.5,129.5,1018.5,0.2,12.4,15.16
24.10.2016,15.3,7,15.3,6,8.2,88.18,0,14.4,120.5,1019.4,34.5,8.7,14
25.10.2016,15.6,11.6,15.6,11.6,11.2,90.2,0.01,14.3,208.9,1020.4,35.9,11,15.1
26.10.2016,14.5,6.6,14.5,6.6,7.3,78.37,0.99,18,290.7,1025.5,15.8,12.9,13
27.10.2016,11.7,4.6,11.7,3.4,3,73.86,0,14.3,271.9,1031.5,19.7,9.3,14.7
28.10.2016,13.7,3.9,13.7,3.5,4.3,78.53,0,10.8,209.6,1033.6,13.7,9.5,16.1
29.10.2016,11.7,8.6,11.7,6.6,6.9,84.22,4.79,21.5,295.9,1028.9,0.2,21.7,15.2
30.10.2016,10.1,5.6,10.1,3.1,2.5,70.32,0,14.5,308.2,1027.4,0.2,36.1,14.3
31.10.2016,10.5,2.1,10.5,-0.4,1.9,75.38,0,14.4,297.7,1028.8,14,27.6,21.3
1.11.2016,13.6,5.1,13.6,3.2,4,73.53,0,14.4,180.9,1022.4,0.2,28.8,22.0
2.11.2016,10.1,5.3,10.1,2.8,4.4,83.05,0.12,21.6,256.5,1014.5,28.1,23.8,20.2
3.11.2016,7.8,1.3,6,-0.7,-1.4,64.11,0,21.6,288.8,1020.7,15.7,44.9,17.4
4.11.2016,7.7,-0.6,5.8,-3.2,-1.6,71.23,0,10.9,128.9,1021.8,31.3,24.3,21.5
5.11.2016,7.6,0.8,6.3,-1.6,1.5,82.3,0.5,14.5,106.5,1010.1,0.2,11.1,11.4
6.11.2016,7.7,3.6,7.7,0.1,5.5,94.61,16.42,25.1,275.3,999.6,0.3,9.3,20.9
7.11.2016,6.2,2,4.5,-1.8,1.7,86.58,10.55,18.1,276.4,1007,7,31.8,20.7
8.11.2016,3.5,0.8,3.5,-2.5,-0.2,85.5,0.01,14.3,256.5,1011.3,28.5,15.4,22.11
9.11.2016,5,-1.9,3.4,-5.7,-1.9,80.15,0,10.8,208.3,1010.1,5.7,11.8,22.10
10.11.2016,4.2,-0.9,4.2,-3.3,-0.1,89.65,4.81,11.9,145.8,1010.7,24.9,13.9,21.2
11.11.2016,4.9,0.6,4.9,-1.7,2.3,94.41,0,10.7,207.3,1014.6,0.2,5.4,8.0
12.11.2016,4.8,-0.1,4.8,-5.6,0,88.95,16.21,25.2,290.7,1019.9,0.3,8.4,12
13.11.2016,2.9,-1.3,0.2,-7.1,-4.4,71.47,0,25.1,317,1026.5,0.2,29.4,11.4
14.11.2016,5.5,-0.7,5.5,-5.3,-3,73.1,0,17.9,259.7,1033.9,4.2,16.8,14.7
15.11.2016,3,-3,1.3,-7.1,-3.4,78.82,0,13.5,154,1033,15.1,9.9,16.3
16.11.2016,2.7,-0.4,1.2,-4.4,-0.4,93.55,10.32,14,90.2,1024.5,3.2,3.4,21.4
17.11.2016,3.6,1.2,3.6,-1.1,1.8,95.86,4.95,11.7,37,1019,0.8,2.5,7.1
18.11.2016,11.7,1.7,11.7,-1.5,4.9,91.96,0,14.4,176.8,1013.7,0.2,3,13.0
19.11.2016,11.7,4.5,11.7,3.4,6.6,90.73,5.94,18,174.6,1013.5,0.2,16,21.1
20.11.2016,13.1,5.7,13.1,3.9,7.2,88.78,2,14.6,66.8,1015.8,0.2,43.5,19.2
21.11.2016,11.7,6.6,11.7,3.9,6.7,86.9,0,14.7,26.7,1017.3,21,16.9,10
22.11.2016,12.1,4.7,12.1,1.5,5.3,85.84,0,14.6,14.9,1019.4,11.2,13.2,13.0
23.11.2016,9,4.2,7.6,0.9,4.1,85.47,0,19.1,20.4,1022.8,24.5,9.7,16.0
24.11.2016,7.1,4.6,7.1,2.8,3.6,85.09,0,7.3,137.1,1021.5,8.5,4.2,19
25.11.2016,7.6,5.6,7.6,5.6,5,89.63,0.1,3.7,345,1020.3,20.8,1.6,18.4
26.11.2016,9.2,6.1,9.2,3.8,5.3,88.3,0,14.4,113.4,1018.5,0.2,7.7,16.6
27.11.2016,8.2,1.6,5.3,-1.6,2.3,80.75,0,28.7,324.3,1013.8,0.2,34.9,17.8
28.11.2016,2.6,-1.6,0.4,-5.5,-4.3,70.02,0.2,14.5,337.7,1022.6,0.4,43.3,11.0
29.11.2016,2.2,-3,-0.6,-8.2,-5.5,73.44,0,21.5,315.7,1032.8,7,42.3,13.5
30.11.2016,2.1,-3,1.1,-7.5,-6.3,63.33,0,21.4,304.2,1030.4,25.2,41.4,19.2
1.12.2016,5.1,-0.3,0.8,-5.3,-0.7,80.34,3.08,39.5,267.9,1019.6,24.9,23.2,11.8
2.12.2016,6,-0.6,3.1,-3,-1.3,68.98,2.01,36.1,296.1,1013.7,18.6,37.4,14.3
3.12.2016,3.7,-2.4,3.6,-5.1,-3.9,74.04,0,17.8,350.2,1025.8,0,34.4,20.6
4.12.2016,1.5,-2.7,1.5,-2.7,-4.6,76.57,0,3.6,180.4,1031.5,0.1,10.2,18.2
5.12.2016,0.7,-4.8,0.3,-8.1,-4.3,86.74,0,7.4,73.1,1032,13.9,7,15.2
6.12.2016,-0.2,-3.7,-2.4,-10.1,-4.5,83.87,0,21.5,300.6,1031.2,15.7,7.9,7.2
7.12.2016,3,-2.7,3,-6,-3.4,82.04,0,21.4,207.3,1038.5,6.9,10.8,11
8.12.2016,-1.9,-3,-1.9,-6,-3,94.81,0,7.3,169.3,1036.5,0.2,3.1,14.1
9.12.2016,7.5,-3.1,5.7,-5.2,-1.5,75.51,0.1,14.4,233,1029.8,15.3,18,16.6
10.12.2016,10.8,5.1,10.8,2.4,2.5,70.71,0,17.9,251.1,1025.3,0.1,36.7,9.8
11.12.2016,9.9,3.6,7.2,1,-0.2,60.84,0,32.2,236.6,1017.5,0.1,42.9,7.1
12.12.2016,7.1,-1.8,4.5,-7.2,0.3,77.14,0.99,28.7,283.1,1020.1,25.3,40.2,16.4
13.12.2016,1,-6.1,1,-7.3,-8.7,64.23,0,10.8,162.2,1031.4,21,29.3,14
14.12.2016,1.6,-3.8,-0.4,-6.4,-3.8,85.5,0.1,7.2,194,1026.7,31.8,8.5,16.3
15.12.2016,3.2,-1.9,1.2,-4,-2.3,80.59,0,14.4,342.6,1030.8,3.5,22.9,16.1
16.12.2016,0.1,-3.8,0.1,-6.9,-2.9,90.02,0,7.3,64.2,1037.4,28.4,5.9,16.6
17.12.2016,-1.2,-3.5,-1.2,-8.1,-3.9,91.08,0,14.3,229.4,1039.1,0.2,4.3,14.8
18.12.2016,0.1,-1.9,0.1,-8,-2.2,90.27,0.01,25,245.7,1035.2,0.2,5.2,4.3
19.12.2016,-1.4,-2.4,-1.4,-7.3,-2.6,95.07,0.49,14.5,19.2,1036.2,0.3,2.3,18.4
20.12.2016,-2.6,-3.9,-6.2,-9.1,-4.6,93.6,0.3,14.4,56.3,1034.7,4.4,1.5,17.3
21.12.2016,-3.4,-4.4,-3.4,-7.7,-4.8,93.31,9.84,7.5,15.5,1036.5,12.6,3.2,16
22.12.2016,-3.4,-4.4,-3.4,-4.4,-4.6,93.38,0,3.8,120.7,1037.3,0.3,4.6,8.3
23.12.2016,-0.9,-4.4,-0.9,-4.4,-3.7,94.1,0.2,0.1,359.3,1037.3,12.2,3.3,2.3
24.12.2016,-0.4,-1.8,-0.4,-1.8,-1.7,95.45,0.6,3.7,180.5,1031.6,0.2,5,7
25.12.2016,7.1,-0.9,5.2,-1.8,2.4,86.1,0.1,25.2,275.9,1025,0.2,39.8,8.7
26.12.2016,10,6.2,10,2.4,4.9,80.27,0.01,21.6,313,1025.6,0.2,44.6,21.2
27.12.2016,6.1,2.2,3.8,-2.7,-1.4,69.41,0.81,28.9,286,1030,23.5,42.2,17.2
28.12.2016,5.1,-0.6,1.9,-2.3,-4.2,63.06,1.05,21.6,342,1034.3,0.2,30.6,16.6
29.12.2016,3.1,-2.3,1.2,-5.9,-5.9,64.18,0,21.6,322.5,1040.8,3.3,39.2,13.7
30.12.2016,2.6,-5.2,0.6,-6.4,-5.5,75.02,0,14.4,309,1039.9,0.8,17.8,15
31.12.2016,3.1,-4.4,1.2,-7.3,-5.7,75.31,0,7.2,355.9,1034.4,0,8.3,16.3
1.1.2017,-2.2,-8.2,-2.2,-12,-7.2,89.78,0,7.2,155.2,1025.6,0,2.6,14.6
2.1.2017,-1.1,-6.6,-3.1,-6.6,-5.8,91.72,0,10.9,247.5,1020,13.6,3.5,4.4
3.1.2017,2.2,-1.9,-2.2,-7.3,-4.6,73.4,0.1,21.6,282.4,1022.2,20.2,16.3,16.21
4.1.2017,3.6,0.6,-0.9,-4.5,-3.4,67.31,0.2,32.3,246.3,1008.8,31.8,18.5,16.15
5.1.2017,1.6,-6.3,-2.4,-11.2,-7.6,66.36,0,26.5,323,1017.3,11.9,22.1,15.6
6.1.2017,-6.6,-11.1,-8.6,-18.3,-12.9,68.46,0.59,21.6,342,1033.6,0.1,10,15.5
7.1.2017,-8.3,-14.3,-8.3,-24.9,-17.8,59.9,0,32.3,338.5,1034.3,0.1,9.8,13.8
8.1.2017,-5,-11.1,-5.2,-18.2,-13.8,66.53,0.32,28.7,330.2,1028.4,0.2,7.7,9.0
9.1.2017,-3.3,-8,-6.1,-17.1,-11.3,64.29,39.37,35.7,315.5,1026.1,12.9,18.3,8.6
10.1.2017,-6.6,-12.1,-7.4,-13.5,-13.1,72.14,39.37,11,32.4,1023.4,23.1,11.5,6.3
11.1.2017,-4.6,-12.4,-5.8,-16.6,-13.6,68.53,39.37,10.8,6.3,1020.2,2.5,12.5,11.5
12.1.2017,3.6,-7.6,3.6,-11.3,-6,79.42,1.98,10.8,208.6,1012.6,11.2,9.1,7.3
13.1.2017,4.6,-3.4,2,-6.5,-2.1,77.72,61.06,18.1,243,1000.8,32.6,20.4,3.1
14.1.2017,1.6,-1.1,-1.3,-4.8,-3.1,78.95,4.94,14.6,295.8,1005.5,0.2,10,12.3
15.1.2017,2.9,-2.4,-0.7,-6.1,-4.7,73.4,0,17.9,281,1018,0.1,10,14
16.1.2017,-0.9,-3.5,-0.9,-8.2,-6.1,76.47,108.25,17.8,332,1022.7,13.3,16.1,14.2
17.1.2017,0.2,-5.8,-2.3,-9.7,-7.7,70.51,98.41,14.4,335.9,1029.3,13.1,10.7,4.1
18.1.2017,-0.7,-7.1,-0.7,-10.2,-8.6,71.17,98.41,14.3,336.4,1035.7,13.5,11.8,7.5
19.1.2017,-1.5,-9.9,-1.5,-9.9,-10.3,75.44,98.41,7.2,301.8,1038.6,1.7,7.5,8.0
20.1.2017,-2.5,-9.4,-2.5,-12.4,-10.4,74.23,0,10.7,146.3,1038.4,0,5.1,3.1
21.1.2017,-1.2,-8.4,-1.6,-14.3,-9.3,73.07,0,14.2,77.9,1035.6,0,5.2,11.7
22.1.2017,-1.9,-7.9,-2.4,-9.4,-8.9,76.43,0,7.5,1.8,1035,0,6.2,10.7
23.1.2017,-4.3,-7.1,-5.9,-13.1,-7.5,88.7,78.73,18,118.3,1029.6,20.5,3.5,9.6
24.1.2017,-5.1,-7.4,-5.3,-11,-7.6,88.6,78.73,14.4,343.8,1027.7,24.7,4.8,5.1
25.1.2017,-2.4,-4.9,-2.7,-10.3,-6.6,80.38,78.73,14.4,295.5,1031.1,31.8,7.9,7.3
26.1.2017,-0.1,-4.3,-0.1,-6.5,-5.8,76.88,78.73,7.3,61.3,1034.1,32.6,9.5,11.0
27.1.2017,-4.6,-8.5,-5.4,-12.8,-8.1,89.24,0,14.4,31.7,1031.9,16.1,4.9,4.1
28.1.2017,-6.1,-8.1,-6.4,-13.3,-8.3,89.71,0,14.5,18.4,1028.5,0,4.5,10.6
29.1.2017,-6.4,-7.6,-6.4,-7.6,-8.3,90.28,0,3.7,16.4,1029.8,0,3.5,11.0
30.1.2017,-6.9,-8.3,-6.9,-11.8,-9.1,89.56,0.3,7.3,2,1027.5,4.1,2.5,10.0
31.1.2017,-3.6,-6.9,-3.6,-9.4,-6.5,91.4,2.28,7.4,61.1,1022.9,16.4,2.6,5.8
1.2.2017,-0.2,-3.3,-0.2,-3.3,-1.8,94.8,4.09,0.1,315,1022.4,8.2,1.3,10.5
2.2.2017,0.6,-1.4,0.6,-3,-1.1,95.81,0.79,7.2,269.9,1019.5,0,1,1
3.2.2017,1.6,0.5,1.6,0.5,0.5,96.56,0.1,3.6,359.4,1012,0,0.6,3.8
4.2.2017,3.5,0.1,3.5,-4.2,0.5,96.41,0,14.3,223.2,1008.3,0.2,4.8,9.5
5.2.2017,11.5,1.2,11.5,-2.8,0.9,78.74,0,14.3,195.4,1006.9,0,4.8,9.7
6.2.2017,5,0.2,5,-4.2,1.7,92.73,11,21.5,251.5,1012,32.6,6.4,9.3
7.2.2017,1.2,-2.8,-1.1,-8.5,-4.1,78.63,0.6,25.2,336.7,1018.4,19,9.8,9.6
8.2.2017,-2.6,-3.6,-2.9,-9.2,-5.9,81.54,0,21.5,339.3,1024.5,31.8,8.5,9.9
9.2.2017,1.1,-3.4,1.1,-3.4,-4.3,81.04,0,7.2,225.4,1030,32.6,7.3,8.8
10.2.2017,1.7,-0.8,-0.7,-5.1,-2.2,85.77,0.1,14.5,57.2,1029.2,27.3,6.5,8.5
11.2.2017,1.1,-1.9,-3,-6.7,-3.5,80.26,0,14.5,73.3,1028.5,0.2,10,8.5
12.2.2017,2.6,-1.4,0.1,-4.6,-4.2,71.52,0,18,50,1032.5,0.2,10,2.7
13.2.2017,4.2,-3,4.1,-5.3,-4.3,73.75,0,10.8,9.5,1036.3,0.9,8.3,2
14.2.2017,4.6,-3.2,3,-6.1,-3.3,75.92,0,7.3,47.8,1036.8,1.2,7,2.7
15.2.2017,9,-0.9,8.6,-1.3,-2,70.56,0,7.2,289.4,1036.4,0,7.5,4.3
16.2.2017,-0.2,-3.6,-1.3,-6.7,-3.1,93.35,0,7.2,261.1,1034.6,0.1,0.4,5.6
17.2.2017,2.6,-2.6,0.6,-5,-1,94.3,0,14.3,238.9,1026,0.1,4.5,3.1
18.2.2017,5.7,2.1,4.2,-1,1.4,86.19,0.41,18,330.8,1025.3,0.2,9.6,3.1
19.2.2017,8.1,-0.7,7,-2.4,-0.3,78.31,0,10.7,232.3,1025.5,0.3,8.4,4.8
20.2.2017,8.2,-1,7,-1.9,0.4,84.32,0,17.9,208.3,1021.8,0.1,8.1,0.6
21.2.2017,9.6,3.7,7,2,5.1,87.47,11.91,18,267.4,1013,33,11,6.8
22.2.2017,12.1,4.2,12.1,2.4,4.9,81.34,5.44,28.6,252.8,1012,30.9,12.2,4.4
23.2.2017,14.7,8.7,14.7,7.6,5,66.83,0.2,25.1,235.6,1005.2,30,29.2,1.7
24.2.2017,12.6,3.2,12.6,0.9,-0.7,57.01,0.2,28.7,294.2,1006.4,3.8,11.8,1.1
25.2.2017,7.7,0.1,6.5,-3.6,-4.9,55.55,0,14.4,250.1,1023.3,0,10,1.1
26.2.2017,9.1,0.2,8.2,-3.3,-3.9,55.66,0,14.4,58.7,1020.2,0,15,2.1
27.2.2017,13.2,1.6,13.2,-0.6,0.4,63.8,0,14.6,45.2,1013,15.6,20,1.1
28.2.2017,11.1,2.7,11.1,0.6,1.5,66.03,0,21.7,132,1002.1,29.1,33.3,0.5
1.3.2017,9.6,4,7,2.1,-0.2,64.43,0.71,21.7,299.5,1006.7,30,39.1,5.5
2.3.2017,11.7,2.1,11.7,0.1,-0.1,64.54,1,21.7,243.2,1012.9,28.8,17.6,1.4
3.3.2017,14.1,4.5,14.1,2.5,-1.3,50.07,0,18.1,188,1017.9,18.5,60,1.5
4.3.2017,18.5,4.2,18.5,2,2.4,56.09,0,32.5,105.1,1005.8,0,10,3.6
5.3.2017,14.6,6.7,14.6,5.3,4.4,67.88,0,18.1,158.9,1006,0.1,10,2.0
6.3.2017,11.7,3.7,11.7,1.8,0.8,66.8,0,21.7,244.9,1004.4,20.2,42.2,4.0
7.3.2017,10.2,2.6,10.2,0.5,1.5,75.33,0.2,14.4,273.8,1010.1,25.2,19.3,1.3
8.3.2017,11.6,2.6,11.6,-1.3,-0.8,62.91,0,25.2,347.7,1022.5,0.1,10,12
9.3.2017,13.1,4.2,13.1,3.3,2.9,70.47,1.4,10.9,338.9,1018.7,26,13.6,0.8
10.3.2017,8.1,4.2,6.3,0.8,2.8,79.37,5.1,21.6,323.4,1018.1,3.5,10.9,2.0
11.3.2017,9.7,2.2,8.7,-0.4,-1.7,60.81,0,14.6,339.7,1023.1,0.1,10,3.5
12.3.2017,8.6,2.1,8,-0.9,-2.5,57.79,0,17.9,328.4,1019.5,0.2,10,4.0
13.3.2017,10.6,0.6,10.6,0.6,-2.1,59.96,0,18,330.9,1024,0,15.1,1.7
14.3.2017,12,-0.4,12,-0.4,-0.4,65.64,0,18.6,341.6,1028.7,27.7,13.6,0.4
15.3.2017,11.1,5,11.1,3.4,2.9,70.31,0,11.6,319.6,1027.9,29.8,15.5,1.1
16.3.2017,15.5,4.5,15.5,2.4,-0.6,51.19,0,21.9,312,1023.7,10.5,21.5,2.1
17.3.2017,17.5,5,17.5,5,2.1,58.14,0.04,15.2,137.1,1015.7,0.4,18,4.5
18.3.2017,10.1,5.6,10.1,3.2,5.2,79.93,15.89,29.5,277.8,1006.7,0.2,13.2,2.7
19.3.2017,9.5,4.1,8,1.8,4.2,85.18,6.09,15.3,305.4,1010.3,0.2,15.2,0.5
20.3.2017,15.6,7.7,15.6,6.3,6.7,69.87,0,22.2,276.9,1010.6,26.3,35.3,3.0
21.3.2017,17.9,8,17.9,8,6.4,66.36,0,18.1,163.9,1010.7,20.2,20.2,3.3
22.3.2017,14.5,5.2,14.5,5.1,6,74.28,0,14.6,236.4,1012.6,27.9,18.5,0.6
23.3.2017,17.1,4.1,17.1,4.1,5.6,76.41,0,7.5,144.2,1016.7,17.8,11.3,0.6
24.3.2017,13,4.7,13,1.4,4.2,72.76,0,25.2,320.8,1024.1,21.5,7.8,1.1
25.3.2017,14.2,1.2,14.2,-0.3,-0.5,58.53,0,18,339.9,1025.8,9,13.6,3.7
26.3.2017,12.1,3.6,12.1,0.1,-3.5,47.21,0,21.4,349.4,1023,0,10,0.7
27.3.2017,15.5,0.6,15.5,0.6,-4,43.67,0,14.3,324.4,1026.6,0,22.5,2.7
28.3.2017,20.6,6.5,20.6,6.5,-2.1,34.32,0,10.7,308.3,1023.3,1.6,25,3.3
29.3.2017,21.7,11.5,21.7,11.5,2.6,40.56,0,18.1,289.4,1022.4,7.4,35,0.7
30.3.2017,18.1,10.7,18.1,10.7,5.6,56.61,0,10.9,289.2,1026,31.3,21.8,0.6
31.3.2017,21.2,7.6,21.2,6.4,5.4,57.29,0,11,61.3,1023.5,15.6,19.4,2.0
1.4.2017,22.6,8.7,22.6,7.4,4.8,50.83,0,14.7,12.3,1015.8,0,14,1.7
2.4.2017,24.1,10,24.1,10,4.5,46.7,0,10.8,61.4,1015.9,0,10,1
